id,name,status,category,코트등급,케이스세대,코트레그,코트텐트,weight_g,load_kg,width_cm,length_cm,height_cm,pack_size,price_krw,colors
COT1-OUT-NEW,코트원 컨버터블(신형케이스),판매중,코트,코트원,신형,12pcs,O,2230,145,66.5,191,16.5,15x53x14,375000,블랙;코요테탄;블랙아웃 에디션
COT1-OUT-OLD,코트원 컨버터블(구형케이스),판매중,코트,코트원,구형,12pcs,O,2200,145,66.5,191,16.5,16x53x16,375000,블랙;코요테탄;블랙아웃 에디션
COT1-OUT-LT,코트원 컨버터블 LT,판매중,코트,코트원,신형,12pcs,O,2090,145,66.5,191,16.5,15x53x14,420000,블랙
COT1-OUT-INS,코트원 컨버터블 인슐레이티드(신형케이스),판매중,코트,코트원,신형,12pcs,O,3200,145,68,191,16.5,20x66x18,550000,블랙
COTM-OUT-OLD,코트맥스 컨버터블(구형케이스),판매중,코트,코트맥스,구형,16pcs,없음,2900,145,75,211,16.5,17.5x57x17.5,490000,블랙;코요테탄;블랙아웃 에디션
COTM-OUT-NEW,코트맥스 컨버터블(신형케이스),판매중,코트,코트맥스,신형,16pcs,없음,2900,145,75,211,16.5,16x60x13.5,490000,블랙;코요테탄;블랙아웃 에디션
COTLITE-OUT-STD,라이트 코트,판매중,코트,라이트,해당없음,없음,없음,1250,120,58,187,12.5,13x55.5x13,300000,블랙;화이트;샌드;그레이
