id,name,status,category,제품군,변형유형,weight_g,load_kg,width_cm,length_cm,height_cm,pack_size,price_krw,colors
TBL1-OUT-STD,테이블원,판매중,테이블,테이블원,기본,720,50,40,60,38,10x42.5x10,137000,블랙;코요테탄;블랙아웃 에디션
TBL1HT-OUT-STD,테이블원 하드탑,판매중,테이블,테이블원,하드탑,910,50,40,60,38,12x41x12.5,147000,블랙;코요테탄;블랙아웃 에디션
TBL1HT-OUT-LG,테이블원 하드탑 라지,판매중,테이블,테이블원,하드탑라지,1560,50,57,75,49,16x61x13,170000,블랙;코요테탄;블랙아웃 에디션
CAFET-OUT-STD,카페 테이블,판매중,테이블,카페테이블,기본,3110,50,60,60,68,61x60x9,320000,블랙;코요테탄
CAFET-OUT-WD,카페 테이블 와이드,판매중,테이블,카페테이블,와이드,5520,50,60,90,68,61x91x9,380000,블랙;코요테탄
SIDET-OUT-S,사이드 테이블 스몰,판매중,테이블,사이드테이블,스몰,310,2,26.5,26.5,39,27.5x45.5x3.5,48000,블랙
SIDET-OUT-M,사이드 테이블 미디움,판매중,테이블,사이드테이블,미디움,560,3,35,35,45,36x57x5,59000,블랙
TBLZ-OUT-LT,테이블 제로 LT,판매중,테이블,테이블제로,LT,254,10,31,49.5,30,8x35x8,152000,사이언
